1550259774.1789885::@Zedd @Spotify @katyperry It\u2019s been on repeat! I have it streaming on Spotify for when I\u2019m at work and on bought it\u2026 https:\/\/t.co\/TaTHZZBbKJ","display_text_range":[26,140],"source":"\u003ca href=\"http:\/\/twitter.com\/download\/iphone\" rel=\"nofollow\"\u003eTwitter for iPhone\u003c\/a\u003e","truncated":true,"in_reply_to_status_id":1096478716937392129,"in_reply_to_status_id_str":"1096478716937392129","in_reply_to_user_id":155705264,"in_reply_to_user_id_str":"155705264","in_reply_to_screen_name":"Zedd","user":{"id":64371587,"id_str":"64371587","name":"Stephanie","screen_name":"sweetsteph09","location":"California","url":"http:\/\/zedd.me\/365Video","description":"Plays with puppies and kittens full time. Used to travel to see @Zedd live #76showsin4yrs \u2764\ufe0f #yearofZedd http:\/\/www.zeddlifestyle.com  http:\/\/Zedd.net\/calitour","translator_type":"none","protected":false,"verified":false,"followers_count":318,"friends_count":159,"listed_count":7,"favourites_count":5516,"statuses_count":11787,"created_at":"Mon Aug 10 10:05:12 +0000 2009","utc_offset":null,"time_zone":null,"geo_enabled":true,"lang":"en","contributors_enabled":false,"is_translator":false,"profile_background_color":"131516","profile_background_image_url":"http:\/\/abs.twimg.com\/images\/themes\/theme14\/bg.gif","profile_background_image_url_https":"https:\/\/abs.twimg.com\/images\/themes\/theme14\/bg.gif","profile_background_tile":true,"profile_link_color":"579999","profile_sidebar_border_color":"EEEEEE","profile_sidebar_fill_color":"F7F4F7","profile_text_color":"0F010F","profile_use_background_image":true,"profile_image_url":"http:\/\/pbs.twimg.com\/profile_images\/1088578819265458176\/4KnXN07N_normal.jpg","profile_image_url_https":"https:\/\/pbs.twimg.com\/profile_images\/1088578819265458176\/4KnXN07N_normal.jpg","profile_banner_url":"https:\/\/pbs.twimg.com\/profile_banners\/64371587\/1550211105","default_profile":false,"default_profile_image":false,"following":null,"follow_request_sent":null,"notifications":null},"geo":null,"coordinates":null,"place":null,"contributors":null,"is_quote_status":false,"extended_tweet":{"full_text":"@Zedd @Spotify @katyperry It\u2019s been on repeat! I have it streaming on Spotify for when I\u2019m at work and on bought it on iTunes for when I\u2019m on the road. #365ZeddXKatyPerry #365AllTheTime","display_text_range":[26,185],"entities":{"hashtags":[{"text":"365ZeddXKatyPerry","indices":[152,170]},{"text":"365AllTheTime","indices":[171,185]}],"urls":[],"user_mentions":[{"screen_name":"Zedd","name":"Zedd","id":155705264,"id_str":"155705264","indices":[0,5]},{"screen_name":"Spotify","name":"Spotify","id":17230018,"id_str":"17230018","indices":[6,14]},{"screen_name":"katyperry","name":"KATY PERRY","id":21447363,"id_str":"21447363","indices":[15,25]}],"symbols":[]}},"quote_count":0,"reply_count":0,"retweet_count":0,"favorite_count":0,"entities":{"hashtags":[],"urls":[{"url":"https:\/\/t.co\/TaTHZZBbKJ","expanded_url":"https:\/\/twitter.com\/i\/web\/status\/1096495057744539648","display_url":"twitter.com\/i\/web\/status\/1\u2026","indices":[117,140]}],"user_mentions":[{"screen_name":"Zedd","name":"Zedd","id":155705264,"id_str":"155705264","indices":[0,5]},{"screen_name":"Spotify","name":"Spotify","id":17230018,"id_str":"17230018","indices":[6,14]},{"screen_name":"katyperry","name":"KATY PERRY","id":21447363,"id_str":"21447363","indices":[15,25]}],"symbols":[]},"favorited":false,"retweeted":false,"filter_level":"low","lang":"en","timestamp_ms":"1550259768316"}

1550259774.1789885::RT @CharlieAngusNDP: We are one month into state of emergency at Cat Lake.\n100 children have been identified with health problems. \nThe gov\u2026
1550259774.506243::New property just listed in 46074 https:\/\/t.co\/l3R1epnqni
1550259774.7343347::RT @HenryFernandez: \u201cWhen God is in it, there is no limit.\u201d \ud83c\udfb6\ud83c\udfb5 ~Israel Houghton .\n.\nSee @IsraelHoughton in South Florida on February 21-22,\u2026
1550259774.881323::RT @VandalsSoccer: Jeremy is out on the road, looking for the next great Vandal! Catch him this weekend in Houston! \n\n#GoVandals https:\/\/t.\u2026
1550259775.2669525::RT @RobGMacfarlane: The 120-yr-old Chelsea Elm in Sheffield has at last been saved from the axe. I've stood under this astonishing tree in\u2026
1550259775.4910266::RT @MaristMBB: It's #GameDay! We're on the road at Quinnipiac - 8 p.m. tip. #GoRedFoxes #maachoops https:\/\/t.co\/yqsJTFSkQv
1550259776.0396621::RT @ABC: A herd of elk waded through rising water caused by heavy rainfall and melting snow in Oregon, where road closures and a state of e\u2026
1550259776.864215::RT @shepstar88: A big thank you to Grace Hoskins from @NorthworthyT and @northworthy_t who delivered a fantastic session on management toda\u2026
1550259777.4544642::RT @1Romans58: .@POTUS could have called out Paul Ryan but took the high road\n\nI'm not a politician so I'll say it for him\n\nRyan was a Neo-\u2026
1550259777.5079508::RT @thisdayqueen: On this day (February 15) in 1975, Roger modelled clothes from Kensington Market &amp; King's Road boutiques for 'Disc'. http\u2026
